9.56	0.956
9.58	0.958
9.6	0.96
9.62	0.962
9.64	0.964
9.66	0.966
9.68	0.968
9.7	0.97
9.72	0.972
9.74	0.974
9.76	0.976
9.78	0.978
9.8	0.98
9.82	0.982
9.84	0.984
9.86	0.986
9.88	0.988
9.9	0.99
9.92	0.992
9.94	0.994
9.96	0.996
9.98	0.998
10	1
10.02	1.002
10.04	1.004
10.06	1.006
10.08	1.008
10.1	1.01
10.12	1.012
10.14	1.014
10.16	1.016
10.18	1.018
10.2	-14.3
10.22	-14.5
10.24	-14.6
10.26	-14.75
10.28	-14.65
10.3	-14.5
10.32	-14.4
10.34	-14.3
10.36	-14
10.38	1.038
10.4	1.04
10.42	1.042
10.44	1.044
10.46	1.046
10.48	1.048
10.5	1.05
10.52	1.052
10.54	1.054
10.56	1.056
10.58	1.058
10.6	1.06
10.62	1.062
10.64	1.064
10.66	1.066
10.68	1.068
10.7	1.07
10.72	1.072
10.74	1.074
10.76	1.076
10.78	1.078
10.8	1.08
10.82	1.082
10.84	1.084
10.86	1.086
10.88	1.088
10.9	1.09
10.92	1.092
10.94	1.094
10.96	1.096
10.98	1.098
11	1.1
11.02	1.102
11.04	1.104
11.06	1.106
11.08	1.108
11.1	1.11
11.12	1.112
11.14	1.114
11.16	1.116
11.18	1.118
11.2	1.12
11.22	1.122
11.24	1.124
11.26	1.126
11.28	1.128
11.3	1.13
11.32	1.132
11.34	1.134
11.36	1.136
11.38	1.138
11.4	1.14
11.42	1.142
11.44	1.144
11.46	1.146
11.48	1.148
11.5	1.15
11.52	1.152
11.54	1.154
11.56	1.156
11.58	1.158
11.6	1.16
11.62	1.162
11.64	1.164
11.66	1.166
11.68	1.168
11.7	1.17
11.72	1.172
11.74	1.174
11.76	1.176
11.78	1.178
11.8	1.18
11.82	1.182
11.84	1.184
11.86	1.186
11.88	1.188
11.9	1.19
11.92	1.192
11.94	1.194
11.96	1.196
11.98	1.198
12	1.2
12.02	1.202
12.04	1.204
12.06	1.206
12.08	1.208
12.1	1.21
12.12	1.212
12.14	1.214
12.16	1.216
12.18	1.218
12.2	1.22
12.22	1.222
12.24	1.224
12.26	1.226
12.28	1.228
12.3	1.23
12.32	1.232
12.34	1.234
12.36	1.236
12.38	1.238
12.4	1.24
12.42	1.242
12.44	1.244
12.46	1.246
12.48	1.248
12.5	1.25
12.52	1.252
12.54	1.254
12.56	1.256
12.58	1.258
12.6	1.26
12.62	1.262
12.64	1.264
12.66	1.266
12.68	1.268
12.7	1.27
12.72	1.272
12.74	1.274
12.76	1.276
12.78	1.278
12.8	1.28
12.82	1.282
12.84	1.284
12.86	1.286
12.88	1.288
12.9	1.29
12.92	1.292
12.94	1.294
12.96	1.296
12.98	1.298
13	1.3
13.02	1.302
13.04	1.304
13.06	1.306
13.08	1.308
13.1	1.31
13.12	1.312
